,region,status_group_num
463,Kigoma,0
464,Kilimanjaro,0
465,Arusha,0
466,Ruvuma,1
467,Ruvuma,0
468,Lindi,1
469,Tanga,1
470,Tanga,0
471,Rukwa,1
472,Shinyanga,0
473,Morogoro,0
474,Kagera,0
475,Iringa,1
476,Pwani,0
477,Arusha,0
478,Kilimanjaro,1
479,Singida,0
480,Arusha,1
481,Shinyanga,0
482,Kigoma,1
483,Arusha,1
484,Dodoma,0
485,Pwani,1
486,Arusha,1
487,Morogoro,1
488,Kilimanjaro,0
489,Iringa,1
490,Mtwara,0
491,Shinyanga,0
492,Kagera,1
493,Ruvuma,0
494,Shinyanga,1
495,Ruvuma,1
496,Kilimanjaro,1
497,Iringa,0
498,Mtwara,1
499,Pwani,1
500,Iringa,0
501,Rukwa,0
502,Shinyanga,1
503,Dar es Salaam,1
504,Kilimanjaro,1
505,Kigoma,1
506,Mara,1
507,Arusha,0
508,Rukwa,1
509,Arusha,0
510,Mtwara,1
511,Kigoma,1
512,Kagera,0
513,Arusha,0
514,Mbeya,0
515,Tanga,1
516,Singida,0
517,Arusha,0
518,Shinyanga,0
519,Tanga,0
520,Kilimanjaro,0
521,Mwanza,0
522,Iringa,0
523,Mtwara,1
524,Shinyanga,0
525,Mbeya,1
526,Mtwara,1
527,Tanga,0
528,Lindi,0
529,Iringa,0
530,Shinyanga,0
531,Morogoro,0
532,Pwani,1
533,Mbeya,0
534,Morogoro,0
535,Mbeya,1
536,Manyara,0
537,Morogoro,1
538,Mbeya,1
539,Morogoro,1
540,Pwani,1
541,Mbeya,0
542,Mbeya,1
543,Iringa,0
544,Iringa,0
545,Kilimanjaro,1
546,Manyara,0
547,Iringa,1
548,Ruvuma,1
549,Morogoro,1
550,Rukwa,0
551,Singida,1
552,Iringa,0
553,Iringa,0
554,Mtwara,0
555,Tabora,1
556,Mbeya,0
557,Pwani,0
558,Kagera,0
559,Ruvuma,1
560,Mbeya,0
561,Pwani,0
562,Morogoro,0
563,Kilimanjaro,1
564,Iringa,1
565,Dodoma,1
566,Singida,0
567,Dar es Salaam,0
568,Mbeya,0
569,Ruvuma,0
570,Mtwara,1
571,Shinyanga,0
572,Shinyanga,0
573,Kigoma,1
574,Pwani,1
575,Ruvuma,1
576,Pwani,1
577,Iringa,1
578,Pwani,1
579,Tanga,0
580,Tabora,1
581,Singida,0
582,Pwani,0
583,Mbeya,0
584,Mwanza,1
585,Kigoma,1
586,Rukwa,1
587,Kilimanjaro,1
588,Dodoma,0
589,Arusha,1
590,Mwanza,1
591,Morogoro,0
592,Mara,1
593,Kilimanjaro,1
594,Singida,1
595,Dodoma,1
596,Kigoma,1
597,Singida,0
598,Iringa,0
599,Lindi,0
600,Shinyanga,0
601,Singida,0
602,Dodoma,1
603,Mwanza,1
604,Tabora,0
605,Rukwa,1
606,Lindi,0
607,Rukwa,0
608,Tanga,1
609,Mbeya,1
610,Mbeya,1
611,Arusha,1
612,Shinyanga,0
613,Tabora,0
614,Mwanza,0
615,Singida,0
616,Mara,1
617,Iringa,1
618,Tanga,1
619,Mwanza,0
620,Tanga,0
621,Iringa,0
622,Pwani,0
623,Shinyanga,0
624,Pwani,0
625,Morogoro,0
626,Lindi,1
627,Kagera,0
628,Tanga,0
629,Tanga,1
630,Shinyanga,0
631,Dodoma,1
632,Lindi,1
633,Lindi,1
634,Rukwa,0
635,Kilimanjaro,1
636,Dar es Salaam,1
637,Pwani,0
638,Ruvuma,1
639,Kilimanjaro,0
640,Kigoma,1
641,Iringa,0
642,Kilimanjaro,0
643,Lindi,1
644,Pwani,1
645,Kilimanjaro,1
646,Pwani,0
647,Mbeya,0
648,Dodoma,1
649,Pwani,0
650,Morogoro,0
651,Kilimanjaro,1
652,Dodoma,0
653,Kigoma,0
654,Kigoma,1
655,Lindi,1
656,Tabora,1
657,Kilimanjaro,0
658,Ruvuma,1
660,Lindi,1
661,Morogoro,0
662,Lindi,1
663,Ruvuma,0
664,Arusha,1
665,Morogoro,0
666,Shinyanga,0
667,Mwanza,0
668,Tabora,1
669,Tanga,0
670,Morogoro,0
671,Mbeya,1
672,Kilimanjaro,0
673,Iringa,0
674,Tanga,1
675,Ruvuma,0
676,Iringa,0
677,Arusha,0
679,Iringa,0
680,Kagera,1
681,Mtwara,1
682,Pwani,0
683,Shinyanga,0
684,Kigoma,0
685,Pwani,1
686,Kagera,0
687,Shinyanga,0
688,Ruvuma,0
689,Singida,1
690,Shinyanga,1
691,Dodoma,1
692,Dodoma,0
693,Shinyanga,1
694,Mbeya,0
695,Mara,0
696,Tanga,1
698,Morogoro,1
699,Iringa,0
700,Shinyanga,0
701,Mara,1
702,Dar es Salaam,1
703,Arusha,0
704,Iringa,0
705,Shinyanga,0
706,Ruvuma,1
707,Kagera,0
708,Shinyanga,1
709,Morogoro,0
710,Pwani,1
711,Tanga,0
712,Ruvuma,1
713,Mara,0
714,Kagera,1
715,Kilimanjaro,1
716,Kilimanjaro,1
717,Shinyanga,0
718,Lindi,1
719,Kilimanjaro,0
721,Morogoro,0
722,Ruvuma,1
723,Shinyanga,1
724,Shinyanga,1
725,Mbeya,1
726,Kilimanjaro,0
727,Kilimanjaro,0
728,Mara,0
729,Iringa,0
730,Mtwara,1
731,Morogoro,1
732,Shinyanga,0
734,Singida,0
735,Mtwara,0
736,Shinyanga,1
737,Tabora,0
738,Lindi,1
739,Dodoma,1
740,Kagera,0
741,Mbeya,0
742,Kilimanjaro,1
743,Iringa,0
744,Tabora,1
745,Rukwa,1
746,Mtwara,0
747,Iringa,0
748,Tanga,0
749,Kilimanjaro,1
750,Pwani,1
751,Kagera,0
752,Manyara,0
754,Mtwara,0
756,Mtwara,0
757,Manyara,1
758,Mtwara,1
759,Shinyanga,0
760,Mwanza,0
761,Arusha,0
762,Morogoro,1
763,Rukwa,1
764,Shinyanga,1
765,Morogoro,0
766,Singida,1
767,Morogoro,1
768,Tanga,0
769,Arusha,1
770,Singida,1
771,Kagera,0
772,Morogoro,1
773,Ruvuma,0
774,Mtwara,0
775,Mbeya,1
776,Mwanza,1
777,Singida,1
778,Dodoma,1
779,Lindi,1
780,Dodoma,1
781,Shinyanga,0
782,Dodoma,0
783,Kilimanjaro,0
784,Pwani,0
785,Shinyanga,0
786,Mara,0
787,Mbeya,1
788,Mara,0
789,Tanga,1
790,Arusha,0
791,Shinyanga,0
792,Iringa,0
793,Iringa,1
794,Kilimanjaro,1
795,Shinyanga,0
796,Dodoma,0
797,Dar es Salaam,0
799,Kagera,0
800,Pwani,1
801,Manyara,1
802,Mwanza,0
803,Ruvuma,1
804,Morogoro,0
805,Morogoro,0
806,Arusha,1
807,Kigoma,0
808,Iringa,1
809,Mara,1
810,Mtwara,1
811,Lindi,1
812,Iringa,1
813,Mwanza,0
814,Morogoro,1
815,Morogoro,1
816,Dodoma,1
817,Iringa,1
818,Tanga,1
819,Morogoro,0
820,Tanga,0
821,Lindi,0
822,Morogoro,1
823,Kilimanjaro,0
824,Kagera,1
825,Iringa,0
826,Iringa,1
827,Mwanza,1
828,Dodoma,1
829,Singida,0
830,Iringa,0
831,Ruvuma,1
832,Mbeya,0
833,Rukwa,0
834,Arusha,0
835,Kilimanjaro,1
836,Tanga,0
837,Tanga,0
838,Shinyanga,1
840,Dar es Salaam,0
841,Rukwa,0
842,Kagera,1
843,Pwani,0
844,Manyara,0
845,Shinyanga,1
846,Iringa,0
847,Dodoma,0
848,Mbeya,0
849,Dar es Salaam,0
850,Rukwa,1
851,Morogoro,0
852,Tanga,1
853,Mtwara,1
854,Tabora,1
855,Mwanza,0
856,Morogoro,0
857,Dar es Salaam,0
858,Iringa,0
859,Kagera,0
860,Tanga,1
861,Kagera,1
862,Mtwara,1
863,Rukwa,1
864,Mwanza,1
865,Mtwara,0
866,Morogoro,0
867,Manyara,0
868,Kilimanjaro,1
869,Pwani,0
870,Tanga,1
871,Kilimanjaro,0
872,Kagera,1
873,Tanga,0
874,Iringa,0
875,Iringa,0
876,Morogoro,0
877,Kagera,0
878,Kigoma,0
879,Kagera,1
880,Pwani,0
881,Kilimanjaro,0
882,Kilimanjaro,0
883,Morogoro,1
884,Pwani,1
885,Shinyanga,0
886,Morogoro,0
887,Shinyanga,0
888,Iringa,0
889,Mtwara,1
890,Singida,1
891,Tanga,0
892,Tabora,0
893,Shinyanga,0
894,Lindi,1
895,Dodoma,1
896,Morogoro,0
897,Pwani,0
898,Kilimanjaro,0
899,Arusha,0
900,Ruvuma,1
901,Rukwa,0
902,Shinyanga,1
903,Ruvuma,0
904,Kilimanjaro,0
905,Manyara,1
906,Rukwa,0
907,Morogoro,0
908,Kagera,0
909,Tabora,0
910,Iringa,0
912,Morogoro,0
913,Arusha,0
914,Mtwara,1
915,Kagera,1
916,Morogoro,0
917,Kigoma,1
918,Tabora,1
919,Mara,0
920,Ruvuma,1
921,Mbeya,1
922,Singida,1
923,Mwanza,1
924,Pwani,1
925,Iringa,0
926,Shinyanga,0
927,Iringa,0
928,Mbeya,0
929,Kagera,1
930,Pwani,0
931,Tanga,0
932,Tanga,1
933,Mbeya,1
934,Iringa,1
935,Mwanza,0
936,Iringa,0
937,Ruvuma,1
938,Arusha,0
940,Mara,1
941,Mwanza,1
942,Kilimanjaro,0
943,Manyara,1
944,Tanga,1
945,Kilimanjaro,0
946,Shinyanga,0
947,Iringa,0
948,Lindi,1
949,Pwani,1
950,Morogoro,0
951,Manyara,0
952,Tanga,1
953,Mbeya,0
954,Kagera,0
955,Shinyanga,1
956,Shinyanga,1
957,Tanga,0
958,Iringa,1
959,Ruvuma,0
961,Mwanza,1
962,Rukwa,0
963,Tanga,1
964,Mbeya,1
966,Dodoma,0
967,Mtwara,0
968,Ruvuma,1
969,Pwani,0
970,Mbeya,0
972,Arusha,1
973,Kagera,1
974,Shinyanga,1
975,Iringa,1
976,Morogoro,0
977,Kigoma,0
978,Kilimanjaro,0
979,Tanga,0
980,Mbeya,1
981,Morogoro,0
982,Mara,1
983,Arusha,1
984,Kagera,0
985,Shinyanga,0
986,Ruvuma,0
987,Mara,1
988,Iringa,1
989,Dodoma,0
990,Kigoma,0
991,Arusha,0
993,Arusha,0
994,Dodoma,1
995,Mbeya,0
996,Kigoma,1
997,Mbeya,1
998,Morogoro,0
999,Pwani,0
1000,Kigoma,0
1001,Tabora,1
1002,Ruvuma,0
1003,Shinyanga,0
1004,Mara,1
1005,Mbeya,0
1006,Ruvuma,0
1007,Iringa,0
1008,Shinyanga,1
1009,Singida,1
1010,Mbeya,0
1011,Pwani,0
1012,Mbeya,1
1013,Dodoma,0
1014,Morogoro,0
1015,Iringa,0
1016,Morogoro,1
1017,Mtwara,1
1018,Tanga,1
1019,Shinyanga,1
1020,Singida,1
1021,Shinyanga,0
1022,Manyara,0
1023,Kilimanjaro,0
1024,Mbeya,1
1025,Mwanza,0
1026,Pwani,1
1027,Tanga,0
1028,Shinyanga,1
1029,Dodoma,1
1030,Kilimanjaro,0
1031,Rukwa,1
1032,Kagera,1
1033,Kigoma,1
1034,Kilimanjaro,1
1035,Kilimanjaro,1
1036,Shinyanga,1
1037,Lindi,1
1038,Kagera,0
1039,Pwani,0
1040,Dar es Salaam,0
1041,Iringa,0
1042,Ruvuma,0
1043,Rukwa,1
1044,Dar es Salaam,1
1045,Morogoro,0
1046,Iringa,0
1047,Kilimanjaro,1
1048,Iringa,0
1049,Singida,1
1050,Tabora,1
1051,Mara,1
1052,Mbeya,0
1053,Mbeya,1
1055,Kagera,1
1056,Iringa,0
1057,Lindi,1
1058,Kilimanjaro,0
1059,Kilimanjaro,1
1060,Pwani,1
1061,Morogoro,0
1062,Iringa,0
1063,Ruvuma,0
1064,Rukwa,1
1065,Arusha,0
1066,Manyara,0
1067,Manyara,0
1068,Dar es Salaam,0
1069,Mtwara,1
1070,Dar es Salaam,0
1071,Tabora,0
1072,Morogoro,1
1073,Morogoro,0
1074,Mwanza,1
1075,Arusha,0
1076,Tanga,0
1077,Iringa,0
1078,Kagera,0
1080,Morogoro,1
1081,Rukwa,1
1082,Dodoma,0
1083,Ruvuma,1
1084,Kagera,1
1085,Lindi,0
1086,Iringa,1
1087,Tanga,1
1088,Morogoro,0
1089,Rukwa,1
1090,Iringa,0
1091,Lindi,1
1092,Kigoma,0
1093,Pwani,1
1094,Kagera,0
1095,Mbeya,0
1096,Morogoro,1
1097,Dodoma,1
1098,Tanga,0
1099,Kilimanjaro,0
1100,Iringa,0
1101,Kigoma,0
1102,Mwanza,1
1103,Kilimanjaro,0
1104,Mwanza,0
1105,Tabora,0
1106,Mbeya,1
1107,Kigoma,1
1108,Mwanza,0
1109,Kagera,0
1110,Kagera,0
1111,Iringa,0
1112,Kigoma,0
1113,Mwanza,0
1114,Iringa,0
1115,Manyara,0
1116,Singida,0
1117,Shinyanga,0
1118,Mwanza,0
1119,Dodoma,1
1120,Kagera,1
1121,Mbeya,0
1123,Ruvuma,1
1124,Kagera,0
1125,Iringa,1
1126,Tabora,1
1127,Kagera,0
1128,Mbeya,0
1129,Lindi,1
1130,Tanga,0
1131,Kilimanjaro,0
1132,Manyara,0
1133,Mwanza,0
1134,Iringa,0
1135,Singida,0
1136,Shinyanga,0
1137,Kilimanjaro,0
1138,Kigoma,1
1139,Lindi,1
1140,Mwanza,0
1141,Shinyanga,0
1142,Dodoma,0
1143,Lindi,0
1144,Morogoro,1
1145,Shinyanga,0
1146,Kigoma,1
1147,Pwani,0
1148,Singida,1
1149,Tanga,1
1150,Manyara,1
1151,Kagera,1
1152,Mbeya,0
1153,Kagera,0
1154,Kigoma,0
1155,Tanga,0
1156,Mtwara,1
1157,Tabora,0
1158,Kagera,1
1159,Shinyanga,0
1160,Iringa,0
1161,Morogoro,1
1162,Kagera,0
1163,Mbeya,0
1164,Mwanza,0
1165,Iringa,0
1166,Kilimanjaro,0
1167,Kagera,0
1169,Shinyanga,0
1170,Ruvuma,0
1171,Shinyanga,1
1172,Iringa,0
1173,Tabora,0
1174,Kilimanjaro,1
1175,Pwani,1
1176,Singida,1
1177,Iringa,0
1178,Arusha,1
1179,Tanga,1
1180,Mara,1
1181,Shinyanga,1
1182,Lindi,1
1183,Mwanza,1
1184,Pwani,0
1185,Kigoma,1
1186,Shinyanga,1
1187,Mbeya,0
1188,Mwanza,1
1189,Mtwara,1
1190,Mwanza,0
1192,Kilimanjaro,0
1193,Kilimanjaro,1
1194,Mara,1
1195,Mara,1
1196,Pwani,0
1197,Tanga,0
1198,Pwani,1
1199,Tanga,0
1200,Kilimanjaro,0
1201,Mbeya,0
1202,Arusha,0
1203,Iringa,0
1204,Pwani,1
1205,Rukwa,1
1206,Dodoma,1
1207,Kilimanjaro,1
1209,Ruvuma,1
1210,Iringa,0
1211,Tanga,0
1212,Mbeya,1
1213,Ruvuma,1
1214,Rukwa,1
1215,Mtwara,1
1216,Tanga,0
1218,Tabora,1
1219,Mbeya,1
1220,Mwanza,0
1221,Mara,1
1222,Ruvuma,1
1223,Tabora,0
1224,Kigoma,0
1225,Mara,0
1226,Rukwa,1
1227,Kagera,1
1228,Mbeya,1
1229,Morogoro,1
1230,Iringa,0
1231,Kilimanjaro,1
1232,Shinyanga,0
1233,Arusha,1
1234,Arusha,0
1235,Lindi,1
1236,Dodoma,1
1237,Mtwara,1
1238,Arusha,1
1239,Rukwa,1
1241,Tanga,0
1242,Ruvuma,0
1243,Mbeya,0
1244,Mwanza,0
1245,Mwanza,1
1246,Kilimanjaro,1
1247,Mbeya,0
1248,Shinyanga,0
1249,Ruvuma,1
1251,Shinyanga,0
1253,Mwanza,1
1254,Manyara,0
1255,Shinyanga,0
1256,Kagera,1
1257,Kigoma,1
1258,Manyara,0
1259,Singida,0
1260,Lindi,0
1261,Kilimanjaro,0
1262,Kilimanjaro,0
1263,Dodoma,1
1264,Shinyanga,1
1265,Shinyanga,0
1266,Manyara,1
1267,Iringa,0
1268,Mbeya,1
1269,Rukwa,1
1270,Mbeya,0
1271,Iringa,0
1272,Mtwara,1
1273,Morogoro,1
1274,Mtwara,1
1275,Kilimanjaro,1
1276,Arusha,0
1277,Singida,1
1278,Kilimanjaro,0
1279,Kagera,0
1280,Mara,1
1281,Manyara,0
1282,Kilimanjaro,0
1283,Morogoro,1
1284,Iringa,0
1285,Iringa,0
1286,Arusha,1
1287,Manyara,1
1288,Iringa,0
1289,Kilimanjaro,0
1290,Kilimanjaro,0
1291,Shinyanga,1
1292,Shinyanga,1
1293,Rukwa,1
1294,Mara,1
1295,Mtwara,1
1296,Iringa,0
1297,Tanga,0
1298,Singida,0
1299,Tanga,1
1300,Singida,1
1301,Kigoma,1
1302,Singida,1
1304,Morogoro,1
1305,Arusha,0
1306,Iringa,0
1307,Pwani,0
1308,Kigoma,0
1309,Pwani,0
1310,Mtwara,1
1311,Rukwa,0
1312,Arusha,0
1313,Tanga,0
1314,Morogoro,1
1315,Mbeya,0
1316,Ruvuma,0
1317,Mwanza,1
1318,Kilimanjaro,1
1319,Dodoma,0
1320,Kagera,1
1321,Mwanza,1
1322,Mwanza,0
1323,Mbeya,1
1324,Arusha,0
1325,Pwani,1
1326,Iringa,0
1327,Kilimanjaro,1
1328,Kagera,0
1329,Tanga,1
1330,Rukwa,0
1331,Kigoma,0
1332,Tanga,0
1335,Mbeya,1
1336,Morogoro,1
1337,Lindi,1
1338,Singida,0
1339,Morogoro,1
1340,Mtwara,0
1341,Shinyanga,0
1342,Ruvuma,0
1343,Rukwa,1
1344,Tanga,1
1345,Arusha,1
1346,Kagera,0
1347,Morogoro,1
1348,Tabora,0
1349,Shinyanga,0
1350,Rukwa,1
1351,Dodoma,1
1352,Kilimanjaro,0
1353,Mara,0
1354,Dodoma,1
1355,Kilimanjaro,0
1356,Kilimanjaro,0
1357,Shinyanga,0
1358,Iringa,0
1359,Arusha,0
1360,Dar es Salaam,0
1361,Shinyanga,1
1362,Tabora,0
1363,Mara,1
1364,Iringa,0
1365,Arusha,0
1366,Iringa,0
1367,Kigoma,0
1368,Morogoro,1
1369,Mwanza,0
1370,Kagera,0
1371,Kigoma,0
1372,Mara,1
1373,Kilimanjaro,0
1374,Iringa,1
1375,Mbeya,0
1376,Kigoma,1
1377,Kagera,1
1378,Morogoro,0
1379,Iringa,1
1380,Singida,1
1381,Iringa,0
1382,Kilimanjaro,0
1383,Manyara,0
1384,Mtwara,1
1385,Pwani,0
1386,Ruvuma,0
1387,Mbeya,0
1388,Ruvuma,0
1389,Rukwa,0
1390,Manyara,0
1391,Mtwara,0
1392,Mbeya,0
1393,Mtwara,0
1394,Dodoma,1
1395,Kigoma,0
1396,Shinyanga,0
1397,Morogoro,0
1398,Dodoma,0
1399,Mtwara,1
1400,Rukwa,0
1401,Arusha,0
1402,Kagera,0
1403,Kilimanjaro,0
1404,Kilimanjaro,0
1405,Mwanza,0
1406,Ruvuma,0
1407,Lindi,1
1408,Kilimanjaro,1
1409,Dodoma,0
1410,Arusha,0
1411,Morogoro,1
1412,Ruvuma,0
1413,Mbeya,1
1414,Morogoro,0
1415,Kigoma,0
